X,Y
Изобретение направлено на повышение надежности работы вентиля.,повышение надежности работы вентиля;
Технический результат - расширение средств воздействий на водоцементные смеси в процессе их схватывания и твердения.,расширение средств воздействий на водоцементные смеси в процессе их схватывания и твердения;
"Технический результат, получаемый при реализации разработанного способа, состоит в обеспечении возможности управления указанными процессами схватывания и твердения водоцементных систем.",обеспечение возможности управления указанными процессами схватывания и твердения водоцементных систем;
Использование изобретения обеспечивает предотвращение внезапного выхода окиси углерода из расплава стали.,предотвращение внезапного выхода окиси углерода из расплава стали;
"Поэтому задачей изобретения является создание способа для регулирования выпуска окиси углерода в металлургическом процессе плавления, с помощью которого предотвращается внезапный выход окиси углерода или, по меньшей мере, уменьшается его интенсивность.",регулирование выпуска окиси углерода в металлургическом процессе плавления;
"Другой целью настоящего изобретения является существенное сокращение, если не устранение, проблем, связанных с обслуживанием установки.",существенное сокращение проблем;
"Задачей настоящего изобретения является обеспечение фрикционного материала муфты, который маловероятно будет вызывать возникновение фрикционных вибраций на границе трения, и для которого стабильные фрикционные характеристики могут быть получены на ранней стадии, даже сразу после начала использования.",обеспечение фрикционного материала муфты;
Технический результат изобретения - повышение эффективности применения арктического дизельного топлива за счет улучшения низкотемпературных характеристик с одновременным расширением номенклатурного перечня составов дизельных топлив для районов Крайнего Севера.,повышение эффективности применения арктического дизельного топлива; улучшение низкотемпературных характеристик;
"Использование изобретения позволит осуществлять краниокоррекцию свода уже в ранний послеоперационный период и далее в течение продолжительного времени, а также обеспечить возможность равномерного воздействия на патологический рельеф свода черепа без дополнительного давления на кости свода черепа.",осуществление краниокоррекции свода уже в ранний послеоперационный период;
"Техническим результатом изобретения является: обеспечение доступа к точке Денди с целью осуществления краниокоррекции свода уже в ранний послеоперационный период, а также доступа к большому и малому родничкам с целью контроля состояния пациента, при этом вышеуказанные действия производятся без необходимости снятия устройства.",обеспечение доступа к точке Денди с целью осуществления краниокоррекции свода уже в ранний послеоперационный период;
Технический результат заключается в компромиссе между улучшением использования ресурса и уменьшением перегрузки сигнализацией.,компромисс между улучшением использования ресурса и уменьшением перегрузки сигнализацией;
"Изобретение позволяет продлить срок службы лопастной мешалки и осевого стержня, выполненных в виде цельной детали друг с другом.",продление срока службы лопастной мешалки и осевого стержня;
"Принимая во внимание вышеуказанную ситуацию, настоящее изобретение направлено на создание способа обработки для заметного увеличения продолжительности срока службы «ротора», состоящего из лопастной мешалки и осевого стержня, выполненных в виде единой цельной детали друг с другом, при механическом перемешивании хромсодержащих расплавленных чугуна или стали.",увеличение продолжительности срока службы «ротора»;
Технический результат – повышение эффективности устранения асфальтеновых отложений в стволах скважин и эксплуатационных трубопроводах.,повышение эффективности устранения асфальтеновых отложений в стволах скважин и эксплуатационных трубопроводах;
"Использование изобретения увеличивает прочность готового изделия или формы, а также исключает их деформацию при нагревании.",увеличение прочности готового изделия или формы;
Технический результат - битумная эмульсия с улучшенными эксплуатационными свойствами за счет определения приемлемых ее коалесцентных свойств.,битумная эмульсия с улучшенными эксплуатационными свойствами за счет определения приемлемых ее коалесцентных свойств;
"Задачей настоящего изобретения является обеспечение более систематического способа выбора битумной эмульсии так, чтобы в соответствии с ним могли быть определены приемлемые коалесцентные свойства.",обеспечение более систематического способа выбора битумной эмульсии;
"Предпочтительно, способ настоящего изобретения используют для выбора битумной эмульсии при осуществлении процесса ликвидации трещин.",выбор битумной эмульсии при осуществлении процесса ликвидации трещин;
Техническим результатом изобретения является повышение эффективности и интенсивности процесса выщелачивания и увеличения извлечения золота на 20%.,повышение эффективности и интенсивности процесса выщелачивания и увеличения извлечения золота на 20%;
Техническим результатом изобретения является повышение эффективности и интенсивности извлечения золота.,повышение эффективности и интенсивности извлечения золота;
"Техническим результатом является увеличение подвижности бетонной смеси, сокращение трудоемкости работ при формовании изделий, снижение износа оборудования и, без перерасхода портландцемента и при сохранении низкого водовяжущего отношения, повышение прочности и трещиностойкости изделий.",увеличение подвижности бетонной смеси;
"Изобретение позволяет улучшить прочность сцепления, увеличить срок хранения и использования эластомера, упростить технологию получения и уменьшить количество отходов при получении изделия.",улучшение прочности сцепления;
"В одном варианте осуществления настоящее изобретение направлено на способ получения композитного изделия, внешний вид которого проиллюстрирован тремя чертежами.",получение композитного изделия;
Технический результат - повышение эффективности фракционирования материала на основе биомассы.,повышение эффективности фракционирования материала на основе биомассы;
"Технический результат - сохранение физико-механических свойств комплексной добавки в течение времени более шести месяцев, повышение непроницаемости, трещиностойкости бетона с указанной добавкой, ускорение набора прочности бетона, в том числе при отрицательной температуре окружающей среды.",сохранение физико-механических свойств комплексной добавки в течение времени более шести месяцев;
"В связи с этим предлагаемое изобретение направлено на решение технической задачи повышения показателей увеличения темпа твердения в ранние сроки - 1÷2 суток при нормальной и пониженной температуре твердения, повышения непроницаемости, а также трещиностойкости бетона с комплексной добавкой заявленного состава и из бетонной смеси с этой добавкой.",повышение показателей увеличения темпа твердения в ранние сроки;
Изобретение позволяет повысить эффективность очистки воды и донных отложений водоема.,повышение эффективности очистки воды и донных отложений водоема;
Задачей изобретения является повышение эффективности очистки воды и донных отложений водоема.,повышение эффективности очистки воды и донных отложений водоема;
"Технический результат заключается в том, что достигнута очистка донного осадка до качества почвогрунтов и очистка воды водоема до предельно допустимых значений концентраций тяжелых металлов и нефтепродуктов.",очистка донного осадка до качества почвогрунтов и очистка воды водоема до предельно допустимых значений концентраций тяжелых металлов и нефтепродуктов;
"Предложенное изобретение позволяет удалять из сырьевого потока для полимеризации диоксид углерода при температуре менее 40°C. 2 н. и 13 з.п. ф-лы, 4 ил., 19 пр., 1 табл.",удаление из сырьевого потока для полимеризации диоксида углерода;
Этот способ позволяет снизить содержание ароматики и серы в дизельном топливе и повысить его цетановое число.,снижение содержания ароматики и серы в дизельном топливе и повышение его цетанового числа;
Техническим результатом является повышение экономической эффективности процесса.,повышение экономической эффективности процесса;
Технический результат - увеличение выхода стабильного конденсата и товарного газа.,увеличение выхода стабильного конденсата и товарного газа;
Задача изобретения - увеличение выхода стабильного конденсата и товарного газа.,увеличение выхода стабильного конденсата и товарного газа;
"Техническим результатом является увеличение выхода стабильного конденсата за счет повышения четкости разделения при дефлегмации и входной сепарации, которая достигается снижением давления, а также увеличение выхода товарного газа за счет рециркуляции газа стабилизации в поток сырого газа и исключения таким образом потерь компонентов товарного газа.",увеличение выхода стабильного конденсата; повышение четкости разделения при дефлегмации и входной сепарации;
"Таким образом, предложенный способ позволяет увеличить выход стабильного конденсата и товарного газа и может быть использован в промышленности.",увеличение выхода стабильного конденсата и товарного газа;
"Изобретение позволяет упростить подачу ингредиентов для получения гидроксохлорида алюминия, исключив оседание взвеси гидроксида алюминия в трубопроводе, и увеличить точность дозирования.",упрощение подачи ингредиентов для получения гидроксохлорида алюминия;
"Возможность осуществления изобретения и обеспечения при этом технического результата, выражающегося в упрощении технологии подачи ингредиентов и увеличении точности дозирования, подтвержден приведенным чертежом и описанием установки для получения гидроксохлорида алюминия.",упрощение технологии подачи ингредиентов и увеличение точности дозирования;
"Техническим результатом настоящего изобретения является улучшенное диспергирование алкилзамещенных хинолинов при получении смазывающей композиции, а также разработка альтернативного способа получения смазывающей композиции.",улучшенное диспергирование алкилзамещенных хинолинов при получении смазывающей композиции;
"Как можно увидеть из примеров, настоящее изобретение позволяет добавлять алкилзамещенные хинолины или их олигомерные производные при значительно более низкой температуре, хотя при этом получается стабильная консистентная смазка, обладающая желательными свойствами.",добавление алкилзамещенных хинолинов или их олигомерныъ производныъ при значительно более низкой температуре;
"Технический результат - получение бетона с повышенными свойствами на растяжение, удар, истираемость.",получение бетона с повышенными свойствами;
Технический результат - повышение средней плотности и снижение водопоглощения материала.,повышение средней плотности и снижение водопоглощения материала;
Технический результат - повышение прочности и долговечности бетонной смеси.,повышение прочности и долговечности бетонной смеси;
Технический результат – расширение возможностей получения из восков и жидкостей процесса Фишера-Тропша целевых базовых масел и/или моторных топлив.,расширение возможностей получения из восков и жидкостей процесса Фишера-Тропша целевых базовых масел и/или моторных топлив;
Изобретение относится к способу превращения жидкостей и восков процесса Фишера-Тропша в базовый компонент смазочного масла и/или моторное топливо.,превращение жидкостей и восков процесса Фишера-Тропша в базовый компонент смазочного масла и/или моторное топливо;
"Целью настоящего изобретения является получение ферритной нержавеющей стали, содержащей приведенные далее химические элементы.",получение ферритной нержавеющей стали;
Технический результат состоит в уменьшении уровня шума и вибрации железного сердечника трансформатора.,уменьшение уровня шума и вибрации железного сердечника трансформатора;
"Изобретение позволяет снизить неустойчивость фторсодержащих кетонов в различных жестких условиях эксплуатации композиций, содержащих фторсодержащие кетоны.",снижение неустойчивости фторсодержащих кетонов в различных жестких условиях эксплуатации композиций;
"Технический результат - повышенное сродство типографской краски к поверхностям, выполненным из полимерной композиции.",повышенное сродство типографской краски;
"Изобретение направлено на получение высококачественного железорудного концентрата, а также магнезитового концентрата и строительного гипса при снижении энергозатрат.",получение высококачественного железорудного концентрата;
Технический результат в обоих вариантах - повышение качества железорудного концентрата при снижении энергоемкости процесса.,повышение качества железорудного концентрата при снижении энергоемкости процесса;
Технический результат - получение из подготовленной руды высококачественного железорудного концентрата и попутных качественных продуктов.,получение из подготовленной руды высококачественного железорудного концентрата и попутных качественных продуктов;
Технический результат – снижение плотности и теплопроводности при сохранении высокой прочности.,снижение плотности и теплопроводности при сохранении высокой прочности;
Задачей изобретения является получение изделий с низкими плотностью и теплопроводностью при одновременном обеспечении достаточно высокой прочности изделий.,получение изделий с низкими плотностью и теплопроводностью при одновременном обеспечении достаточно высокой прочности изделий;
"Технический результат – сокращение сроков набора прочности и твердения изделий, снижение себестоимости и увеличение производительности способа производства изделий, утилизация отходов.",сокращение сроков набора прочности и твердения изделий;
"Техническим результатом изобретения является значительное сокращение сроков набора прочности и твердения готовых изделий, снижение себестоимости готовых изделий, увеличение производительности способа производства бетонных изделий, улучшение экологической ситуации территорий со значительным скоплением отходов переработки древесины из кусковых отходов лесопиления, лесозаготовок и деревообработки, со скоплением стеблей хлопчатника и подсолнечника, рисовой соломы, зерновой лузги, костры конопли и льна и т.д.",сокращение сроков набора прочности и твердения готовых изделий;
Техническим результатом является расширение арсенала способов извлечения америция.,расширение арсенала способов извлечения америция;
Задачей изобретения является расширение арсенала способов извлечения америция.,расширение арсенала способов извлечения америция;
"Изобретение позволяет получить адсорбенты, которые помимо указанных выше свойств имеют стойкость к абразивному износу и разрушению и пригодны для применения во множестве различных областей.",получить адсорбенты;
"Следовательно, задачей настоящего изобретения является обеспечение, на основе активированного угля, высокоэффективного адсорбента, пригодного для использования, в частности, в указанных выше областях, и который, по меньшей мере в значительной степени, лишен недостатков известного уровня техники или же, по меньшей мере, более совершенен.","обеспечение, на основе активированного угля, высокоэффективного адсорбента;"
"Технический результат - получение полупродукта с улучшенными свойствами, чем свойства нефтяного сырья, из которого он получен.",получение полупродукта с улучшенными свойствами;
Технический результат - повышение прочности долота и его стойкости к разрушению.,повышение прочности долота и его стойкости к разрушению;
Техническим результатом настоящего изобретения является получение смазочной композиции с уменьшенной испаряемостью по Ноак.,получение смазочной композиции с уменьшенной испаряемостью;
Техническим результатом является возможность публикации содержимого без первоначального получения разрешения из сервера и выдачи себе лицензии для воспроизведения опубликованного содержимого без разрешения от сервера.,возможность публикации содержимого без первоначального получения разрешения из сервера;
Применение предлагаемого способа позволяет увеличить скорость образования целевых продуктов без снижения селективности.,увеличить скорость образования целевых продуктов;
"Технический результат - получение изопрена из недорогого возобновляемого источника, который не оказывает отрицательного воздействия на окружающую среду.",получение изопрена из недорогого возобновляемого источника;
"Соответственно, цель настоящего изобретения состоит в разработке усовершенствованного бурового устройства и способа бурения.",разработка усовершенствованного бурового устройства и способа бурения;
Предлагаемое изобретение предназначено для использования в газотурбинных двигателях и касается устройства для впрыска смеси воздуха и топлива в камеру сгорания.,использование в газотурбинных двигателях;
"Задачей предлагаемого изобретения является, таким образом, реализация таких устройств для впрыска, в которых бы выполнялись указанные выше требования.",реализация устройств для впрыска; 
Технический результат состоит в разнесении связи посредством использования множества спутников.,разнесение связи;использование множества спутников;
"Техническим результатом изобретения является обеспечение прочности на тангенциальное растяжение не ниже 900 МПа, не увеличивая при этом прочность на осевое растяжение труб, производимых путем шовной сварки краев листов.",обеспечение прочности;
Изобретение позволяет расширить ассортимент высокоэффективных поглощающих систем.,расширить ассортимент высокоэффективных поглощающих систем;
Целью настоящего изобретения является обеспечение поглощающей системы для поглощения газа.,обеспечение поглощающей системы для поглощения газа;
"Цель настоящего изобретения состоит в устранении недостатков, присущих известным из уровня техники сталям и способам их производства, и в создании нержавеющей стали с высокими механическими свойствами, в частности с пределом упругости при растяжении свыше 400, даже 450 МПа, в отожженном состоянии или после перевода в раствор, с высокой коррозионной стойкостью, превосходящей или равной, в частности, коррозионной стойкости стали 304L, высокой стойкостью микроструктуры и большой ударной вязкостью на сварных участках без необходимости добавки в сталь дорогостоящих легирующих элементов, а также в создании легко осуществимого способа производства листов, полос, прутков, проволоки и профилей из этой стали.","устранении недостатков, присущих известным из уровня техники сталям и способам их производства;"
Изобретение позволяет эффективно диспергировать предшественник катализатора.,эффективно диспергировать предшественник катализатора;
Технический результат: удаление азота с минимальными потерями метана и обеспечение принудительного охлаждения сжиженного природного газа.,удаление азота с минимальными потерями метана;
"Целью настоящего изобретения является создание нового способа для селективного связывания и выделения, по меньшей мере, одного компонента из цельной крови или телесных жидкостей, посредством чего устраняются указанные выше проблемы, связанные с воспалительными процессами.",создание нового способа для селективного связывания и выделения;
Техническим результатом является повышение эффективности процесса и снижение капитальных затрат.,повышение эффективности процесса и снижение капитальных затрат;
"Задача настоящего изобретения состоит в том, чтобы предложить стальной сортовой прокат для скважинного элемента, который обладал бы превосходной стойкостью к SCC и стойкостью к SSC.",предложить стальной сортовой прокат для скважинного элемента;
Технический результат – получение  композиции для получения топлива или добавок в топливо менее сложным способом.,получение  композиции для получения топлива или добавок в топливо менее сложным способом;
Технический результат - хорошие низкотемпературные характеристики двигателя.,хорошие низкотемпературные характеристики двигателя;
Применение настоящего способа позволяет осуществлять эффективный режим для селективного получения этилена и пропилена.,эффективный режим для селективного получения этилена и пропилена;
"Соответственно этому задачей настоящего изобретения является обеспечение способа получения легких олефиновых углеводородов из исходного углеводородного сырья, предпочтительно из нафты или керосина с применением способа каталитического крекинга с флюидизированным слоем, в котором регулируют скорость газового потока и скорость подачи катализатора, как условия эксплуатации реактора с восходящим уплотненным слоем катализатора для каталитического крекинга, тем самым обеспечивая эффективный режим потока для селективного получения легких олефинов, как, например, этилена и пропилена, с высокой степенью конверсии и высокой селективностью.",обеспечение способа получения легких олефиновых углеводородов из исходного углеводородного сырья;
"Изобретение направлено на получение холоднокатаной стали с механической прочностью более 900 МПа, пределом текучести более 700 МПа в сочетании с однородным удлинением более 12%.",получение холоднокатаной стали;
"Также изобретение направлено преимущественно на создание стали, характеризующейся устойчивым производством.",создание стали;
"Наконец изобретение позволяет получить сталь с хорошей способностью к сварке обычными способами соединения, например, но без ограничения, точечной сваркой сопротивлением.",получить сталь с хорошей способностью к сварке;
"Задачей настоящего изобретения является создание усовершенствованной тележки вагона, имеющей опору тормозной балки, которая может быть приспособлена к различным путевым шаблонам.",создание усовершенствованной тележки вагона;
"Технический результат состоит в повышении механических и физических свойств композиции, устранении образования трещин от коррозии под давлением.",повышении механических и физических свойств композиции;
Техническим результатом является повышение эффективности и надежности проведения операций проходки туннеля.,повышение эффективности и надежности проведения операций проходки туннеля;
"Целью настоящего изобретения является обеспечение резиновой смеси для шины, имеющей улучшенное низкое тепловыделение (tan δ) и повышенную.",обеспечение резиновой смеси для шины;
Технический результат - повышение прочности на сжатие при пониженной массе.,повышение прочности на сжатие;
Изобретение позволяет уменьшить общие затраты энергии для проведения операции нейтрализации кислотности.,уменьшить общие затраты энергии;
"Технический результат - возможность проведения процесса в мягких условиях, снижение продолжительности реакции и получение высокого выхода продукта.",возможность проведения процесса в мягких условиях;
"Настоящее изобретение относится способу получения фторорганических соединений, содержащих фтор-18, радиоактивный изотоп фтора.",получение фторорганических соединений;
Целью настоящего изобретения является обеспечение способа получения фторорганических соединений с высоким выходом посредством взаимодействия фторида с алкилгалогенидом или алкилсульфонатом при повышении растворимости фторида за счет ослабления ионных связей во фториде между катионами металла и анионами фтора и одновременном уменьшении продолжительности реакции в результате повышенной реакционной способности фторида.,повышение растворимости фторида;ослабление ионных связей во фториде между катионами металла и анионами фтора;
Примерные варианты осуществления по настоящему изобретению предназначены для применений в отношении существующих 18F-меченных радиоактивных лекарственных препаратов.,применение в отношении существующих 18F-меченных радиоактивных лекарственных препаратов;
"Изобретение относится к производству горячекатаного листа, выполненного из стали, называемой «многофазной» сталью, обладающей одновременно очень высокой прочностью на разрыв и деформируемостью, позволяющими проведение операций холодной формовки.",производство горячекатаного листа;
Целью является также достижение энергии разрушения в тесте Шарпи с V-образным надрезом выше 28 Дж при 20°С.,достижение энергии разрушения в тесте Шарпи;
"Кроме того, целью изобретения является создание способа производства, в котором небольшие вариации в параметрах не приводили бы к существенным изменениям микроструктуры или механических свойств.",создание способа производства;
"Таким образом, в условиях согласно изобретению способ характеризуется малой чувствительностью к изменению производственных параметров.",малая чувствительность к изменению производственных параметров;
